user_id,event_id,event_type,event_sub_event,event_average_rating,adjusted_attendance_rate,clicks,user_encoded,event_encoded,event_type_encoded,event_sub_event_encoded
U6XHO25,E05R100,Webinar,Career,3.71,0.64,66.8,979,28,8,0
U8FPAB9,E03T100,Nimbus,Technical,3.64,0.525,23.1,1162,17,2,3
U8FPAB9,E10C121,Poetry,Cultural,3.85,0.672,104.3,1162,55,3,2
U8FPAB9,E02M100,Sketching,Competition,4.48,0.558,122.7,1162,8,6,1
U8FPAB9,E11C121,Poetry,Cultural,3.47,0.494,88.7,1162,61,3,2
ULOPL33,E12R100,Webinar,Career,4.52,0.823,250.3,3044,70,8,0
ULOPL33,E12C100,Garba Night,Cultural,4.24,0.653,113.5,3044,66,1,2
UTVLTA0,E06C121,Poetry,Cultural,3.67,0.462,91.5,4152,31,3,2
UTVLTA0,E10M100,Sketching,Competition,3.9,0.807,167.4,4152,56,6,1
UTVLTA0,E12M100,Sketching,Competition,3.94,0.56,50.9,4152,68,6,1
U5ISIDA,E08T100,Nimbus,Technical,4.17,0.759,242.6,785,47,2,3
UQ9EB34,E01R100,Webinar,Career,4.0,0.505,31.6,3712,4,8,0
UQ9EB34,E05M142,Poster Making,Competition,3.47,0.639,296.2,3712,27,4,1
UQ9EB34,E06M142,Poster Making,Competition,4.08,0.624,234.0,3712,33,4,1
UQ9EB34,E12M142,Poster Making,Competition,3.63,0.368,67.6,3712,69,4,1
UQ9EB34,E06T100,Reload,Technical,4.28,0.527,11.6,3712,35,5,3
UK5CQ7U,E04R100,Webinar,Career,3.89,0.854,246.5,2844,22,8,0
UK5CQ7U,E07M142,Poster Making,Competition,4.74,0.695,215.0,2844,39,4,1
UK5CQ7U,E06R100,Webinar,Career,3.13,0.849,221.4,2844,34,8,0
UGI4U6P,E02M100,Sketching,Competition,4.12,0.833,233.7,2313,8,6,1
UGI4U6P,E03T100,Nimbus,Technical,4.68,0.61,31.5,2313,17,2,3
UGI4U6P,E06M142,Poster Making,Competition,4.43,0.661,114.0,2313,33,4,1
UEZ6K6C,E12T100,Reload,Technical,4.72,0.343,43.6,2129,71,5,3
U5W5MYR,E10C100,Garba Night,Cultural,3.38,0.756,260.3,842,54,1,2
U5W5MYR,E10T100,Nimbus,Technical,3.67,0.558,190.8,842,59,2,3
U5W5MYR,E11C121,Poetry,Cultural,4.28,0.666,106.0,842,61,3,2
U5W5MYR,E02T100,Nimbus,Technical,3.16,0.586,28.4,842,11,2,3
UZNHMQU,E12R100,Webinar,Career,4.86,0.457,100.2,4947,70,8,0
UZNHMQU,E08R100,Webinar,Career,3.31,0.595,104.3,4947,46,8,0
UZNHMQU,E01M100,Sketching,Competition,4.29,0.639,221.6,4947,2,6,1
UPKKGKY,E07T100,Reload,Technical,4.61,0.688,194.9,3616,41,5,3
UPKKGKY,E10C121,Poetry,Cultural,3.98,0.763,267.3,3616,55,3,2
ULVF2EJ,E10C121,Poetry,Cultural,4.97,0.513,146.9,3072,55,3,2
ULVF2EJ,E03C121,Poetry,Cultural,4.83,0.603,44.7,3072,13,3,2
ULVF2EJ,E01R100,Webinar,Career,4.45,0.858,216.8,3072,4,8,0
ULVF2EJ,E01R100,Webinar,Career,4.37,0.564,230.6,3072,4,8,0
ULVF2EJ,E07T100,Nimbus,Technical,4.71,0.728,172.8,3072,41,2,3
UIX1WKE,E09C121,Poetry,Cultural,4.22,0.609,233.6,2678,49,3,2
UIX1WKE,E06M100,Sketching,Competition,4.16,0.701,153.2,2678,32,6,1
UIX1WKE,E11T100,Nimbus,Technical,4.15,0.619,161.6,2678,65,2,3
UIIQECK,E12C100,Concerts,Cultural,4.32,0.478,134.0,2617,66,0,2
U99RCS2,E01R100,Webinar,Career,3.85,0.414,17.4,1286,4,8,0
UPIBC2V,E08R100,Webinar,Career,3.39,0.536,41.3,3603,46,8,0
UPIBC2V,E05T100,Reload,Technical,3.93,0.289,19.1,3603,29,5,3
UPIBC2V,E07T100,Nimbus,Technical,3.7,0.597,194.6,3603,41,2,3
UPIBC2V,E07M100,Sketching,Competition,4.22,0.598,101.2,3603,38,6,1
U52UKPK,E12M142,Poster Making,Competition,3.9,0.615,157.5,727,69,4,1
U52UKPK,E11C100,Garba Night,Cultural,3.79,0.853,273.2,727,60,1,2
U52UKPK,E07C100,Garba Night,Cultural,4.73,0.579,82.3,727,36,1,2
U37B6K3,E09R100,Webinar,Career,2.89,0.683,129.0,466,52,8,0
U37B6K3,E02T100,Nimbus,Technical,3.59,0.808,229.1,466,11,2,3
UG90TOJ,E01T100,Reload,Technical,3.42,0.496,76.4,2289,5,5,3
ULUFTO8,E05C100,Garba Night,Cultural,3.44,0.443,32.3,3063,24,1,2
ULUFTO8,E06T100,Reload,Technical,4.67,0.675,94.0,3063,35,5,3
ULUFTO8,E09T100,Nimbus,Technical,4.67,0.377,56.8,3063,53,2,3
UEGMLE7,E12M100,Sketching,Competition,3.84,0.846,279.6,2058,68,6,1
UEGMLE7,E02T100,Nimbus,Technical,4.36,0.803,244.4,2058,11,2,3
UEGMLE7,E07M100,Sketching,Competition,3.68,0.75,193.7,2058,38,6,1
U97XLKE,E02C100,Garba Night,Cultural,4.71,0.871,262.7,1274,6,1,2
U97XLKE,E02M100,Sketching,Competition,3.25,0.85,243.1,1274,8,6,1
U97XLKE,E07T100,Reload,Technical,4.03,0.336,64.1,1274,41,5,3
UDAOMWO,E02C121,Poetry,Cultural,4.11,0.849,268.8,1899,7,3,2
UDAOMWO,E09C100,Garba Night,Cultural,4.1,0.477,166.4,1899,48,1,2
UDAOMWO,E03T100,Reload,Technical,3.49,0.662,244.2,1899,17,5,3
U1G7G5V,E11M100,Sketching,Competition,4.89,0.836,269.9,207,62,6,1
UG63QGN,E04M100,Sketching,Competition,3.22,0.445,102.2,2276,20,6,1
UG63QGN,E08T100,Speed,Technical,4.51,0.649,41.9,2276,47,7,3
UG63QGN,E08M142,Poster Making,Competition,3.61,0.705,76.1,2276,45,4,1
UG63QGN,E03T100,Speed,Technical,3.48,0.625,133.9,2276,17,7,3
UAJLX50,E02C100,Garba Night,Cultural,2.72,0.665,247.2,1481,6,1,2
UAJLX50,E10T100,Nimbus,Technical,4.89,0.615,259.6,1481,59,2,3
UAJLX50,E09R100,Webinar,Career,4.21,0.59,12.0,1481,52,8,0
UAJLX50,E02R100,Webinar,Career,4.51,0.531,158.1,1481,10,8,0
UAJLX50,E11R100,Webinar,Career,2.85,0.643,131.0,1481,64,8,0
U4AFUOS,E08C100,Concerts,Cultural,3.77,0.676,74.4,608,42,0,2
UY2R34X,E09R100,Webinar,Career,3.98,0.547,44.8,4727,52,8,0
UY2R34X,E05C100,Garba Night,Cultural,3.33,0.71,107.9,4727,24,1,2
UY2R34X,E09M142,Poster Making,Competition,4.23,0.941,283.4,4727,51,4,1
UY2R34X,E09C121,Poetry,Cultural,3.24,0.713,103.7,4727,49,3,2
UTLEOT2,E04T100,Speed,Technical,3.84,0.52,160.4,4109,23,7,3
UTLEOT2,E11M100,Sketching,Competition,3.74,0.54,213.9,4109,62,6,1
UTLEOT2,E09M142,Poster Making,Competition,3.64,0.529,115.5,4109,51,4,1
UTLEOT2,E08C100,Concerts,Cultural,3.96,0.614,291.8,4109,42,0,2
UTLEOT2,E02M142,Poster Making,Competition,3.47,0.905,289.1,4109,9,4,1
U7CQFNB,E05R100,Webinar,Career,4.8,0.384,83.0,1029,28,8,0
UYBT6QP,E10R100,Webinar,Career,4.53,0.737,154.2,4763,58,8,0
UYBT6QP,E01R100,Webinar,Career,4.47,0.692,97.3,4763,4,8,0
UA6G1LU,E06M100,Sketching,Competition,3.6,0.449,92.6,1424,32,6,1
UA6G1LU,E05R100,Webinar,Career,4.18,0.62,20.7,1424,28,8,0
U5KKCGL,E11C100,Garba Night,Cultural,4.06,0.715,186.8,798,60,1,2
U5KKCGL,E01T100,Nimbus,Technical,3.47,0.683,155.8,798,5,2,3
U5KKCGL,E02C100,Garba Night,Cultural,3.92,0.456,24.9,798,6,1,2
U5KKCGL,E12M100,Sketching,Competition,4.83,0.567,90.8,798,68,6,1
UYJ4GYA,E10T100,Reload,Technical,3.92,0.644,273.4,4798,59,5,3
UYJ4GYA,E08M142,Poster Making,Competition,4.12,0.471,79.5,4798,45,4,1
UYJ4GYA,E09T100,Speed,Technical,5.0,0.344,52.0,4798,53,7,3
UGUI0YU,E05C100,Concerts,Cultural,4.33,0.588,151.9,2367,24,0,2
UGUI0YU,E03R100,Webinar,Career,3.88,0.653,295.8,2367,16,8,0
UOYL5FN,E03R100,Webinar,Career,4.04,0.598,80.2,3522,16,8,0
UOYL5FN,E02R100,Webinar,Career,3.79,0.776,204.9,3522,10,8,0
UOYL5FN,E09T100,Reload,Technical,3.65,0.789,230.9,3522,53,5,3
UOYL5FN,E04T100,Nimbus,Technical,3.65,0.47,78.9,3522,23,2,3
UOYL5FN,E08R100,Webinar,Career,3.73,0.814,221.2,3522,46,8,0
UPU90RZ,E04M100,Sketching,Competition,3.6,0.74,116.7,3658,20,6,1
UPU90RZ,E06R100,Webinar,Career,4.64,0.47,193.4,3658,34,8,0
UN6IRGR,E08M142,Poster Making,Competition,3.82,0.736,193.7,3255,45,4,1
UN6IRGR,E04R100,Webinar,Career,3.3,0.469,165.4,3255,22,8,0
UR667RL,E01T100,Nimbus,Technical,4.15,0.391,36.2,3807,5,2,3
UR667RL,E11T100,Nimbus,Technical,3.95,0.678,252.2,3807,65,2,3
UR667RL,E08C100,Garba Night,Cultural,4.08,0.642,103.0,3807,42,1,2
UA6ETCA,E03R100,Webinar,Career,3.71,0.385,64.1,1423,16,8,0
UA6ETCA,E06R100,Webinar,Career,3.92,0.411,21.8,1423,34,8,0
UA6ETCA,E01C100,Garba Night,Cultural,4.6,0.674,181.4,1423,0,1,2
UQP4OUF,E06T100,Reload,Technical,3.83,0.833,206.5,3750,35,5,3
UQP4OUF,E06R100,Webinar,Career,4.1,0.544,14.8,3750,34,8,0
UQP4OUF,E02M142,Poster Making,Competition,4.13,0.602,158.5,3750,9,4,1
UQP4OUF,E05R100,Webinar,Career,3.4,0.355,75.7,3750,28,8,0
UJCI8ZB,E11M142,Poster Making,Competition,3.99,0.684,197.1,2731,63,4,1
U99Q8GZ,E09R100,Webinar,Career,4.36,0.451,60.6,1285,52,8,0
U99Q8GZ,E05R100,Webinar,Career,3.52,0.725,210.4,1285,28,8,0
UWQYLNU,E07R100,Webinar,Career,3.53,0.403,122.2,4553,40,8,0
UWQYLNU,E08T100,Reload,Technical,3.11,0.778,281.7,4553,47,5,3
UWQYLNU,E10C100,Concerts,Cultural,3.92,0.601,49.9,4553,54,0,2
UWQYLNU,E12T100,Nimbus,Technical,3.77,0.452,108.9,4553,71,2,3
UWQYLNU,E11C100,Garba Night,Cultural,4.34,0.356,42.9,4553,60,1,2
UAPO4OD,E09M142,Poster Making,Competition,3.97,0.943,278.2,1510,51,4,1
UAPO4OD,E11C121,Poetry,Cultural,5.0,0.823,264.4,1510,61,3,2
UAPO4OD,E10M100,Sketching,Competition,4.3,0.49,84.8,1510,56,6,1
UAPO4OD,E04M142,Poster Making,Competition,3.47,0.73,201.4,1510,21,4,1
UAPO4OD,E10C121,Poetry,Cultural,4.02,0.658,247.0,1510,55,3,2
UWZINMG,E03R100,Webinar,Career,4.72,0.559,171.0,4582,16,8,0
UWZINMG,E07C121,Poetry,Cultural,4.42,0.607,163.6,4582,37,3,2
UWZINMG,E07C100,Garba Night,Cultural,4.13,0.563,80.1,4582,36,1,2
UWZINMG,E11M142,Poster Making,Competition,4.05,0.399,37.0,4582,63,4,1
UWZINMG,E05C100,Concerts,Cultural,4.3,0.689,270.2,4582,24,0,2
UVUJ9KQ,E10R100,Webinar,Career,4.62,0.585,271.1,4433,58,8,0
UVUJ9KQ,E11C100,Concerts,Cultural,4.47,0.582,193.6,4433,60,0,2
UVUJ9KQ,E05T100,Speed,Technical,4.98,0.62,108.3,4433,29,7,3
UVUJ9KQ,E12R100,Webinar,Career,4.56,0.749,111.3,4433,70,8,0
UVUJ9KQ,E01R100,Webinar,Career,4.38,0.526,220.5,4433,4,8,0
U98556I,E09M100,Sketching,Competition,3.89,0.906,270.2,1278,50,6,1
U98556I,E01M142,Poster Making,Competition,4.02,0.616,267.3,1278,3,4,1
U98556I,E06C100,Garba Night,Cultural,4.35,0.836,236.2,1278,30,1,2
UW6UXTM,E03R100,Webinar,Career,3.45,0.746,196.2,4474,16,8,0
UW6UXTM,E08T100,Reload,Technical,4.21,0.319,34.4,4474,47,5,3
UHDYGZL,E09M142,Poster Making,Competition,3.23,0.455,56.9,2449,51,4,1
UHDYGZL,E09R100,Webinar,Career,4.19,0.746,270.6,2449,52,8,0
UHDYGZL,E03R100,Webinar,Career,4.42,0.476,185.9,2449,16,8,0
UHDYGZL,E05C100,Concerts,Cultural,4.24,0.423,12.7,2449,24,0,2
UHDYGZL,E07M142,Poster Making,Competition,3.59,0.506,39.4,2449,39,4,1
UYVJ4RF,E03T100,Reload,Technical,3.41,0.528,202.4,4832,17,5,3
UYVJ4RF,E12C100,Concerts,Cultural,3.72,0.471,11.5,4832,66,0,2
UYVJ4RF,E09C100,Garba Night,Cultural,4.3,0.538,56.6,4832,48,1,2
UYVJ4RF,E09C121,Poetry,Cultural,4.07,0.557,169.1,4832,49,3,2
UYVJ4RF,E05C100,Garba Night,Cultural,3.06,0.516,210.6,4832,24,1,2
U9XQUWY,E10M100,Sketching,Competition,3.81,0.847,199.1,1388,56,6,1
U9XQUWY,E05R100,Webinar,Career,4.35,0.578,75.0,1388,28,8,0
UEAH4ZT,E04M100,Sketching,Competition,4.03,0.592,216.5,2031,20,6,1
UEAH4ZT,E02M142,Poster Making,Competition,3.24,0.477,78.8,2031,9,4,1
UEAH4ZT,E08T100,Reload,Technical,3.02,0.49,104.4,2031,47,5,3
UX1GSCG,E07R100,Webinar,Career,4.43,0.546,226.5,4587,40,8,0
UX1GSCG,E08C100,Concerts,Cultural,3.07,0.706,198.4,4587,42,0,2
UX1GSCG,E06M142,Poster Making,Competition,3.38,0.633,256.3,4587,33,4,1
UX1GSCG,E02M142,Poster Making,Competition,3.87,0.806,200.7,4587,9,4,1
UX1GSCG,E06C121,Poetry,Cultural,3.91,0.584,174.8,4587,31,3,2
U9TSANS,E11M100,Sketching,Competition,3.6,0.665,37.2,1370,62,6,1
U9TSANS,E12T100,Reload,Technical,3.9,0.467,116.6,1370,71,5,3
U9TSANS,E02R100,Webinar,Career,4.33,0.647,86.9,1370,10,8,0
UBBDBP6,E04R100,Webinar,Career,3.95,0.486,80.8,1605,22,8,0
UBBDBP6,E04R100,Webinar,Career,3.93,0.684,292.2,1605,22,8,0
UBBDBP6,E09T100,Reload,Technical,3.76,0.748,124.0,1605,53,5,3
UBBDBP6,E10T100,Nimbus,Technical,3.39,0.695,268.7,1605,59,2,3
UBBDBP6,E06R100,Webinar,Career,3.96,0.518,193.0,1605,34,8,0
UTWXGR6,E04C100,Concerts,Cultural,4.37,0.778,240.5,4158,18,0,2
UTWXGR6,E02R100,Webinar,Career,3.66,0.62,155.8,4158,10,8,0
UTWXGR6,E09M100,Sketching,Competition,3.72,0.775,177.3,4158,50,6,1
UTWXGR6,E02R100,Webinar,Career,3.81,0.463,152.8,4158,10,8,0
UTWXGR6,E09M100,Sketching,Competition,4.04,0.346,66.6,4158,50,6,1
U6BSTLM,E11M142,Poster Making,Competition,3.0,0.798,219.5,897,63,4,1
U6BSTLM,E04R100,Webinar,Career,4.04,0.609,91.4,897,22,8,0
U6BSTLM,E08C100,Concerts,Cultural,4.67,0.371,17.1,897,42,0,2
U6BSTLM,E08M100,Sketching,Competition,4.22,0.481,197.2,897,44,6,1
U6BSTLM,E02C121,Poetry,Cultural,3.5,0.641,61.4,897,7,3,2
USZTE28,E06T100,Speed,Technical,3.45,0.765,282.7,4031,35,7,3
USZTE28,E07C100,Garba Night,Cultural,3.79,0.832,286.6,4031,36,1,2
U5LAO8S,E09C121,Poetry,Cultural,4.63,0.898,275.3,802,49,3,2
U5LAO8S,E03M142,Poster Making,Competition,4.15,0.594,117.3,802,15,4,1
U5LAO8S,E11C100,Garba Night,Cultural,3.39,0.362,14.5,802,60,1,2
UBPF3CQ,E10C100,Concerts,Cultural,4.03,0.818,279.2,1657,54,0,2
UBPF3CQ,E07T100,Nimbus,Technical,3.35,0.71,134.2,1657,41,2,3
UPSHES2,E07M100,Sketching,Competition,3.32,0.584,290.3,3651,38,6,1
UPSHES2,E08T100,Reload,Technical,3.28,0.583,289.4,3651,47,5,3
UPSHES2,E05C121,Poetry,Cultural,4.3,0.83,257.4,3651,25,3,2
UPSHES2,E11M100,Sketching,Competition,3.89,0.48,95.4,3651,62,6,1
UPSHES2,E12M100,Sketching,Competition,3.81,0.683,121.7,3651,68,6,1
U0V1RKW,E08C100,Garba Night,Cultural,4.09,0.885,256.8,115,42,1,2
U0V1RKW,E02R100,Webinar,Career,3.74,0.522,101.9,115,10,8,0
U0V1RKW,E02R100,Webinar,Career,4.01,0.359,59.2,115,10,8,0
U0V1RKW,E06M142,Poster Making,Competition,4.33,0.559,171.5,115,33,4,1
U0V1RKW,E12C100,Concerts,Cultural,3.89,0.925,281.5,115,66,0,2
ULIDNBS,E06C121,Poetry,Cultural,4.17,0.727,211.8,3020,31,3,2
ULIDNBS,E05M142,Poster Making,Competition,3.64,0.521,175.3,3020,27,4,1
ULIDNBS,E04M100,Sketching,Competition,4.05,0.323,38.2,3020,20,6,1
ULIDNBS,E12C100,Concerts,Cultural,3.91,0.717,188.4,3020,66,0,2
UCZRFGH,E06M100,Sketching,Competition,3.42,0.941,297.1,1850,32,6,1
UCZRFGH,E01M142,Poster Making,Competition,5.0,0.511,50.6,1850,3,4,1
UCZRFGH,E03R100,Webinar,Career,4.67,0.723,160.3,1850,16,8,0
UCZRFGH,E08M142,Poster Making,Competition,4.55,0.69,264.4,1850,45,4,1
U2MOVP6,E02T100,Reload,Technical,4.45,0.838,224.8,395,11,5,3
U2MOVP6,E09R100,Webinar,Career,3.57,0.734,212.1,395,52,8,0
U2MOVP6,E03R100,Webinar,Career,4.57,0.554,213.7,395,16,8,0
UZ26DWU,E02R100,Webinar,Career,4.35,0.745,114.3,4847,10,8,0
UEKW5FS,E03R100,Webinar,Career,4.68,0.669,95.1,2078,16,8,0
UEKW5FS,E04M100,Sketching,Competition,3.57,0.803,244.7,2078,20,6,1
UQ6O96T,E11R100,Webinar,Career,4.95,0.88,244.9,3697,64,8,0
UQ6O96T,E01T100,Nimbus,Technical,2.98,0.778,261.5,3697,5,2,3
UQ6O96T,E03T100,Nimbus,Technical,4.33,0.757,274.8,3697,17,2,3
UQ6O96T,E04T100,Nimbus,Technical,3.5,0.629,158.3,3697,23,2,3
UB2510D,E03C121,Poetry,Cultural,3.77,0.78,155.4,1569,13,3,2
UB2510D,E11M100,Sketching,Competition,3.71,0.527,241.5,1569,62,6,1
UB2510D,E10R100,Webinar,Career,3.4,0.552,198.5,1569,58,8,0
UB2510D,E12M142,Poster Making,Competition,3.58,0.876,213.6,1569,69,4,1
U9L8J4V,E05M142,Poster Making,Competition,3.44,0.841,240.8,1326,27,4,1
U9L8J4V,E04R100,Webinar,Career,4.25,0.687,268.1,1326,22,8,0
U9L8J4V,E06C100,Garba Night,Cultural,4.13,0.444,108.0,1326,30,1,2
U9L8J4V,E04C100,Concerts,Cultural,4.91,0.393,118.9,1326,18,0,2
UDJHCGZ,E12T100,Speed,Technical,3.74,0.385,37.3,1929,71,7,3
UDJHCGZ,E01T100,Reload,Technical,5.0,0.503,177.7,1929,5,5,3
USQHL9B,E04C100,Garba Night,Cultural,4.75,0.424,20.4,4004,18,1,2
USQHL9B,E10M100,Sketching,Competition,4.26,0.784,145.0,4004,56,6,1
UVXTILW,E05R100,Webinar,Career,3.98,0.562,167.4,4446,28,8,0
UVXTILW,E10T100,Nimbus,Technical,4.34,0.716,93.1,4446,59,2,3
UX8XP9B,E05C121,Poetry,Cultural,3.7,0.702,181.3,4618,25,3,2
UX8XP9B,E04M142,Poster Making,Competition,4.36,0.429,18.8,4618,21,4,1
UNHNMJ4,E02C100,Garba Night,Cultural,4.06,0.641,20.8,3313,6,1,2
UNHNMJ4,E07C100,Concerts,Cultural,3.99,0.737,248.6,3313,36,0,2
UNHNMJ4,E12M100,Sketching,Competition,3.49,0.528,114.5,3313,68,6,1
UNHNMJ4,E06M100,Sketching,Competition,3.92,0.472,46.8,3313,32,6,1
UNHNMJ4,E09T100,Speed,Technical,3.88,0.458,161.5,3313,53,7,3
UHAXJ6A,E12R100,Webinar,Career,4.41,0.63,233.3,2436,70,8,0
UDEQU4R,E10M100,Sketching,Competition,4.21,0.576,72.6,1916,56,6,1
UHQ6GN4,E02R100,Webinar,Career,4.35,0.782,190.6,2492,10,8,0
UHQ6GN4,E03T100,Nimbus,Technical,4.37,0.53,34.8,2492,17,2,3
UMWYJHQ,E02R100,Webinar,Career,4.26,0.618,25.0,3216,10,8,0
UXN0HXH,E03T100,Speed,Technical,3.04,0.747,164.1,4663,17,7,3
UXN0HXH,E10M100,Sketching,Competition,3.58,0.491,166.8,4663,56,6,1
URLEGWJ,E04R100,Webinar,Career,3.89,0.59,194.9,3863,22,8,0
URLEGWJ,E02M142,Poster Making,Competition,3.26,0.771,220.6,3863,9,4,1
U3VVPJM,E09R100,Webinar,Career,3.58,0.867,293.0,550,52,8,0
U3VVPJM,E01T100,Reload,Technical,3.14,0.771,159.7,550,5,5,3
U3VVPJM,E11R100,Webinar,Career,4.27,0.629,103.7,550,64,8,0
U3VVPJM,E08R100,Webinar,Career,3.24,0.785,240.6,550,46,8,0
UU6NUTE,E10R100,Webinar,Career,4.08,0.627,88.5,4188,58,8,0
U6CVOKW,E08T100,Nimbus,Technical,4.69,0.762,137.3,899,47,2,3
U6CVOKW,E10M142,Poster Making,Competition,4.44,0.388,32.8,899,57,4,1
U6CVOKW,E09T100,Reload,Technical,4.48,0.344,17.4,899,53,5,3
U6CVOKW,E10T100,Speed,Technical,4.59,0.933,289.2,899,59,7,3
U9S93WQ,E03M142,Poster Making,Competition,3.88,0.699,252.4,1358,15,4,1
U9S93WQ,E08R100,Webinar,Career,4.08,0.867,211.8,1358,46,8,0
U9S93WQ,E04R100,Webinar,Career,4.65,0.753,128.6,1358,22,8,0
U9S93WQ,E10T100,Reload,Technical,3.79,0.353,60.3,1358,59,5,3
UQ3NJLD,E08C121,Poetry,Cultural,3.66,0.411,55.4,3687,43,3,2
UQ3NJLD,E10R100,Webinar,Career,4.12,0.586,82.6,3687,58,8,0
UG2292R,E07M100,Sketching,Competition,3.99,0.452,169.3,2265,38,6,1
UG2292R,E12T100,Speed,Technical,4.37,0.767,217.2,2265,71,7,3
